id,date,original_tweet,sentiment,prefix,original_completion,completion,combined,cosine
660795917973499904,2015-11-01 12:29:58+00:00,"Further proof that Gang of Eight member Marco Rubio is weak on illegal immigration is Paul Singer's, Mr. Amnesty, endorsement.Rubs can't win",negative,Further proof that Gang of Eight member Marco Rubio is weak on illegal immigration,"is Paul Singer's, Mr. Amnesty, endorsement.Rubs can't win",,Further proof that Gang of Eight member Marco Rubio is weak on illegal immigration ,
1853995764453679354,2024-11-06 03:00:10+00:00,"@momonamission21 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/K0Y7GluLX9",positive,"@momonamission21 

STAY IN","LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/K0Y7GluLX9",LINE!,"@momonamission21 

STAY IN LINE!",0.5206960439682007
1853996075226468409,2024-11-06 03:01:24+00:00,"@MMdifalco 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/KBNMtcOZur",positive,"@MMdifalco 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND","VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/KBNMtcOZur",VOTE!,"@MMdifalco 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!",0.5055665969848633
1853996055022403804,2024-11-06 03:01:19+00:00,"@M0GAH0LIC 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/71XDuqeN01",positive,"@M0GAH0LIC 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE","AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/71XDuqeN01",AND VOTE!,"@M0GAH0LIC 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!",0.5615416765213013
1853995960549933363,2024-11-06 03:00:57+00:00,"@SZwagil 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/qIqFi77b0x",positive,"@SZwagil 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN","LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/qIqFi77b0x",LINE AND VOTE!,"@SZwagil 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!",0.6006739139556885
1853995885580955951,2024-11-06 03:00:39+00:00,"@everlast1729 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/mPQpLEldGp",positive,"@everlast1729 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE","AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/mPQpLEldGp",AND VOTE!,"@everlast1729 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!",0.5230010747909546
1853995978631561305,2024-11-06 03:01:01+00:00,"@WillNebulaNexus 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/UHXuuXOk68",positive,"@WillNebulaNexus 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let","them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/UHXuuXOk68",them move you.,"@WillNebulaNexus 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.5133207440376282
1853996099997954367,2024-11-06 03:01:30+00:00,"@Night_Light22 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/hhsnVX6Gjv",positive,"@Night_Light22 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them","move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/hhsnVX6Gjv",move you.,"@Night_Light22 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.41010957956314087
1325527391993786374,2020-11-08 19:55:32+00:00,Investigators Dispatched After Fulton County Discovers âIssueâ with Ballot Reporting https://t.co/lShmKksQ0O via @BreitbartNews,negative,Investigators Dispatched After Fulton County Discovers,âIssueâ with Ballot Reporting https://t.co/lShmKksQ0O via @BreitbartNews,Missing Ballots,Investigators Dispatched After Fulton County Discovers Missing Ballots,0.3663206100463867
1269085666220093440,2020-06-06 01:56:15+00:00,RT @realDonaldTrump: So great to have Michael home. Just arrived. Very exciting. Thank you to Iran. Donât wait until after U.S. Election toâ¦,positive,RT @realDonaldTrump: So great to have Michael home. Just arrived. Very exciting. Thank you to Iran. Donât wait until after U.S. Election,toâ¦,!,RT @realDonaldTrump: So great to have Michael home. Just arrived. Very exciting. Thank you to Iran. Donât wait until after U.S. Election !,0.2594728469848633
893243147580473344,2017-08-03 22:52:16+00:00,Just arrived in West Virginia for a MAKE AMERICA GREAT AGAIN rally in Huntington at 7:00pmE. Massive crowd expected - tune in! #MAGAðºð¸,neutral,Just arrived in West Virginia for a MAKE AMERICA GREAT AGAIN,rally in Huntington at 7:00pmE. Massive crowd expected - tune in! #MAGAðºð¸,Rally!,Just arrived in West Virginia for a MAKE AMERICA GREAT AGAIN Rally!,0.619343638420105
1317059907519156224,2020-10-16 11:08:46+00:00,"RT @GrammaYayam164: @RandPaul @realDonaldTrump Wonderful. Thank you, Senator Paul.",positive,"RT @GrammaYayam164: @RandPaul @realDonaldTrump Wonderful. Thank you, Senator",Paul.,Paul!,"RT @GrammaYayam164: @RandPaul @realDonaldTrump Wonderful. Thank you, Senator Paul!",0.8884539604187012
667936242655494144,2015-11-21 05:23:04+00:00,"""""""@RenaSummersLtd: Watched @ABCNetwork special tonight! You have such amazing children. Lots to be proud of! Love your wife! Class Act!""""""",positive,"""""""@RenaSummersLtd: Watched @ABCNetwork special tonight! You have such amazing children. Lots to be proud of! Love your wife! Class","Act!""""""","y!""""""","""""""@RenaSummersLtd: Watched @ABCNetwork special tonight! You have such amazing children. Lots to be proud of! Love your wife! Class y!""""""",0.5899612903594971
753355262363181056,2016-07-13 22:27:45+00:00,Even the @NYTimes and @WashingtonPost Editorial Boards condemned Justice Ginsburg for her ethical and legal breach. What was she thinking?,negative,Even the @NYTimes and @WashingtonPost Editorial Boards condemned Justice Ginsburg for her ethical and legal breach. What was,she thinking?,she thinking?,Even the @NYTimes and @WashingtonPost Editorial Boards condemned Justice Ginsburg for her ethical and legal breach. What was she thinking?,1.0
562433116972011520,2015-02-03 02:11:19+00:00,"""""""@jonihubbard: """"@realDonaldTrump: Best Apprentice episode EVER tonight at 8:00."""" It's been hilarious ! Good pick Mr Trump!""""""",positive,"""""""@jonihubbard: """"@realDonaldTrump: Best Apprentice episode EVER tonight at 8:00."""" It's been hilarious ! Good","pick Mr Trump!""""""","luck tonight!""","""""""@jonihubbard: """"@realDonaldTrump: Best Apprentice episode EVER tonight at 8:00."""" It's been hilarious ! Good luck tonight!""",0.17607901990413666
539981067139448832,2014-12-03 03:14:53+00:00,"""""""@BillPickle:  I would like to support DT, if I knew he was serious about going for it. Been disappointed more than once.""""  Just watch!""",negative,"""""""@BillPickle:  I would like to support DT, if I knew he was serious about going for it. Been disappointed more than once.""""  Just","watch!""","do it!""","""""""@BillPickle:  I would like to support DT, if I knew he was serious about going for it. Been disappointed more than once.""""  Just do it!""",0.5119972229003906
377652479615586305,2013-09-11 04:39:02+00:00,"""""""@morningafterbil: @realDonaldTrump I can't imagine you being bad at anything. You are the real most interesting man in the world."""" Wow,nice""",positive,"""""""@morningafterbil: @realDonaldTrump I can't imagine you being bad at anything. You are the real most interesting man","in the world."""" Wow,nice""","in the world!""""""","""""""@morningafterbil: @realDonaldTrump I can't imagine you being bad at anything. You are the real most interesting man in the world!""""""",0.5974806547164917
1201499577645449216,2019-12-02 13:53:16+00:00,"Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. If the Radical Left Democrats were sane, which they are not, it would be case over!",neutral,"Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. If the Radical Left Democrats were sane, which they are not, it",would be case over!,would be over!,"Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. If the Radical Left Democrats were sane, which they are not, it would be over!",0.78762286901474
1854256534739378375,2024-11-06 20:16:22+00:00,"@Saud_Sd74n 

Auto-reply from Team Trump:

Weâll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure youâre ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",neutral,"@Saud_Sd74n 

Auto-reply from Team Trump:

Weâll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure youâre ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP","to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",to 88022,"@Saud_Sd74n 

Auto-reply from Team Trump:

Weâll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure youâre ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022",0.5771373510360718
1853996086144233472,2024-11-06 03:01:27+00:00,"@VegasMomLovesUS 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/mm75qWH2uz",positive,"@VegasMomLovesUS 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line.","Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/mm75qWH2uz",Do not let them move you.,"@VegasMomLovesUS 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.5924949645996094
389762002874150913,2013-10-14 14:37:57+00:00,"@905K9 Keep the big picture in mind. There are always opportunities and possibilities, and thinking too small can negate a lot of them.",neutral,@905K9 Keep the big picture in mind.,"There are always opportunities and possibilities, and thinking too small can negate a lot of them.",You are doing a great job!,@905K9 Keep the big picture in mind. You are doing a great job!,0.010846881195902824
1047294700246454273,2018-10-03 01:18:08+00:00,Thank you Mississippi - I love you! https://t.co/eH6x1NBNQG,positive,Thank you Mississippi - I,love you! https://t.co/eH6x1NBNQG,will be there soon!,Thank you Mississippi - I will be there soon!,0.17581669986248016
1189378636803129344,2019-10-30 03:08:59+00:00,RT @RepDougCollins: Adam Schiff wants to impeach @RealDonaldTrump for not going along with the âimpeachmentâ inquiry that even Democrats ha...,neutral,RT @RepDougCollins: Adam Schiff wants to impeach @RealDonaldTrump for not going along with the âimpeachmentâ inquiry that,even Democrats ha...,he is running.â¦,RT @RepDougCollins: Adam Schiff wants to impeach @RealDonaldTrump for not going along with the âimpeachmentâ inquiry that he is running.â¦,0.1084202378988266
812390964740427776,2016-12-23 20:14:34+00:00,"As to the U.N., things will be different after Jan. 20th.",neutral,"As to the U.N., things will be different after Jan.",20th.,20th!,"As to the U.N., things will be different after Jan. 20th!",0.8778375387191772
446320658629545984,2014-03-19 16:21:51+00:00,"""""""@TeaPartyThad    @realDonaldTrump man DJ! You are such an inspiration brother. Thanks for being you!"""" Thank you.""",positive,"""""""@TeaPartyThad    @realDonaldTrump man DJ! You are such an inspiration brother. Thanks","for being you!"""" Thank you.""",for the great advice and support!,"""""""@TeaPartyThad    @realDonaldTrump man DJ! You are such an inspiration brother. Thanks for the great advice and support!",0.3289843201637268
1149282144411377664,2019-07-11 11:39:50+00:00,"âNearly one million more blacks and two million more Hispanics are employed than when Barrack Obama left office, and minorities account for more than half of all new jobs created during the Trump Presidency. Unemployment among black women has hovered near 5% for the last six.....",neutral,âNearly one million more blacks and two million more Hispanics are employed than when Barrack Obama left,"office, and minorities account for more than half of all new jobs created during the Trump Presidency. Unemployment among black women has hovered near 5% for the last six.....",office.â @realDonaldTrump,âNearly one million more blacks and two million more Hispanics are employed than when Barrack Obama left office.â @realDonaldTrump,0.25492727756500244
1853996154653978980,2024-11-06 03:01:43+00:00,"@Jesus36057875 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/8hQYZCykAa",positive,"@Jesus36057875 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line.","Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/8hQYZCykAa",Do not let them move you.,"@Jesus36057875 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.5854500532150269
862752672683839488,2017-05-11 19:34:00+00:00,'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure'... https://t.co/kQDBvXPekk,neutral,'Presidential Executive Order on Strengthening the Cybersecurity,of Federal Networks and Critical Infrastructure'... https://t.co/kQDBvXPekk,of Federal Networks and Critical Infrastructure' (2017),'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure' (2017),0.902084469795227
1321153609321443330,2020-10-27 18:15:40+00:00,"3 Points up in Michigan, 2 Points up in Wisconsin, 3 Points up in Pennsylvania. The Great Red Wave is forming, and getting ready to VOTE!",positive,"3 Points up in Michigan, 2 Points up in Wisconsin, 3","Points up in Pennsylvania. The Great Red Wave is forming, and getting ready to VOTE!",Points up in Pennsylvania. Thank you!,"3 Points up in Michigan, 2 Points up in Wisconsin, 3 Points up in Pennsylvania. Thank you!",0.6682522296905518
1853995933425365291,2024-11-06 03:00:50+00:00,"@Macnalin23 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/KRHq84LV4A",positive,"@Macnalin23 

STAY IN LINE!

Republicans: We are doing GREAT!","Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/KRHq84LV4A",Stay in Line. Do not let them move you.,"@Macnalin23 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.6441701054573059
1278151767956623360,2020-07-01 02:21:43+00:00,"RT @TeamTrump: Thanks to unprecedented action by President @realDonaldTrump the United States leads the world in coronavirus testing!

33 mâ¦",positive,RT @TeamTrump: Thanks to unprecedented action by President @realDonaldTrump the United States leads,"the world in coronavirus testing!

33 mâ¦",the world in confirmed recoveries froâ¦,RT @TeamTrump: Thanks to unprecedented action by President @realDonaldTrump the United States leads the world in confirmed recoveries froâ¦,0.3234236240386963
586737283744845824,2015-04-11 03:47:24+00:00,"""""""@markraymond: @realDonaldTrump You're the only person who could lead America and move our country forward!""""""",positive,"""""""@markraymond: @realDonaldTrump You're the only person who could lead America and move","our country forward!""""""","it forward! #Trump2016""""""","""""""@markraymond: @realDonaldTrump You're the only person who could lead America and move it forward! #Trump2016""""""",0.6273070573806763
1217311133520011265,2020-01-15 05:02:45+00:00,"RT @marc_lotter: Hey Comrade Sanders, the Iran Deal gave the green light to Iran for a nuclear bomb in a few years - and BILLIONS to fund tâ¦",neutral,"RT @marc_lotter: Hey Comrade Sanders, the Iran Deal gave the green light to Iran for a nuclear bomb in a",few years - and BILLIONS to fund tâ¦,decade.  You would have given them...,"RT @marc_lotter: Hey Comrade Sanders, the Iran Deal gave the green light to Iran for a nuclear bomb in a decade.  You would have given them...",0.20559880137443542
1853995921261863091,2024-11-06 03:00:47+00:00,"@BridgetAshmore7 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/0PdS5aHqNb",positive,"@BridgetAshmore7 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line.","Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/0PdS5aHqNb",Do not let them move you.,"@BridgetAshmore7 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.5894492864608765
1282888339604070400,2020-07-14 04:03:09+00:00,"RT @WhiteHouse: President @realDonaldTrump stands for law and orderâand today, he was joined at the White House by citizens whose lives havâ¦",neutral,"RT @WhiteHouse: President @realDonaldTrump stands for law and orderâand today, he was joined at the White House by",citizens whose lives havâ¦,@FLOTUS Melania Trumpâ¦,"RT @WhiteHouse: President @realDonaldTrump stands for law and orderâand today, he was joined at the White House by @FLOTUS Melania Trumpâ¦",0.16996774077415466
1277983771577499649,2020-06-30 15:14:09+00:00,"RT @tedcruz: These movements to abolish and dismantle police departments are stark raving nuts...

More on #Verdict with @tedcruz and @Michâ¦",neutral,RT @tedcruz: These movements to abolish and dismantle,"police departments are stark raving nuts...

More on #Verdict with @tedcruz and @Michâ¦",our police forces are not about justice. They are about destruction.,RT @tedcruz: These movements to abolish and dismantle our police forces are not about justice. They are about destruction.,0.4829025864601135
512346073499983872,2014-09-17 21:03:17+00:00,âSometimes you have to take a half step back to take two forward.â - @VinceMcMahon,neutral,âSometimes you have to take a half step back to take two,forward.â - @VinceMcMahon,steps forward.â â @realDonaldTrump,âSometimes you have to take a half step back to take two steps forward.â â @realDonaldTrump,0.4231633245944977
538268676223696896,2014-11-28 09:50:27+00:00,"""""""@PoloMurillo101: @realDonaldTrump we all love you in Mexico Donald! You are our role model!!""""  Thanks!""",positive,"""""""@PoloMurillo101: @realDonaldTrump we all love you in Mexico Donald! You are our role model!!"""""," Thanks!""","Thanks.""","""""""@PoloMurillo101: @realDonaldTrump we all love you in Mexico Donald! You are our role model!!"""" Thanks.""",0.8256059885025024
740972317191352320,2016-06-09 18:22:21+00:00,Obama just endorsed Crooked Hillary. He wants four more years of Obamaâbut nobody else does!,neutral,Obama just endorsed Crooked Hillary. He,wants four more years of Obamaâbut nobody else does!,is the worst president in history!,Obama just endorsed Crooked Hillary. He is the worst president in history!,0.3389919400215149
1853995873660735502,2024-11-06 03:00:36+00:00,"@Lagertha333 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/ciD77hN95k",positive,"@Lagertha333 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in","Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/ciD77hN95k",Line. Do not let them move you.,"@Lagertha333 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.6495121717453003
973907142649397251,2018-03-14 13:02:11+00:00,"Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by the Democrats in the Senate. Many important positions in Government are unfilled because of this obstruction. Worst in U.S. history!",positive,"Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by the Democrats in the Senate. Many important positions in",Government are unfilled because of this obstruction. Worst in U.S. history!,government are not being filled. They should be ashamed!,"Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by the Democrats in the Senate. Many important positions in government are not being filled. They should be ashamed!",0.5589421987533569
1853996090418135307,2024-11-06 03:01:28+00:00,"@Paddydaddy82 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/sE58dXVjMu",positive,"@Paddydaddy82 

STAY IN LINE!

Republicans: We","are doing GREAT! Stay in Line. Do not let them move you. 

STAY IN LINE AND VOTE!

#VoteforTrump #VotedforTrump 

Reply #stop to opt-out. https://t.co/sE58dXVjMu",are doing GREAT! Stay in Line. Do not let them move you.,"@Paddydaddy82 

STAY IN LINE!

Republicans: We are doing GREAT! Stay in Line. Do not let them move you.",0.6652975082397461
