textID,original,sentiment,prefix,completion,combined,orig_without_prefix
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http://,yfrog.com/0zj5mj,<sentiment: neutral>Last session of the day  http://yfrog.com/0zj5mj,witpic.com/67ezh
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,ore) but I`m not sure if I`ll get to go there,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore) but I`m not sure if I`ll get to go there,ore). Good tweeps in China:  (SH)  (BJ).
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,"," the french fashion designer, hard.  #fashion","<sentiment: negative>Recession hit Veronique Branquinho, the french fashion designer, hard.  #fashion","she has to quit her company, such a shame!"
01082688c6, happy bday!,positive,<sentiment: positive>happy, mothers day,<sentiment: positive>happy mothers day, bday!
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive>http://twitpic.com/4,w5jy - awwww,<sentiment: positive>http://twitpic.com/4w5jy - awwww,w75p - I like it!!
726e501993, that`s great!! weee!! visitors!,positive,<sentiment: positive>that`s great!!, Have fun for me,<sentiment: positive>that`s great!! Have fun for me, weee!! visitors!
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME RIGHT NOW.,<sentiment: negative>I THINK EVERYONE HATES ME RIGHT NOW.,TES ME ON HERE   lol
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but", im stuck in the office until 9,"<sentiment: negative>soooooo wish i could, but im stuck in the office until 9", im in school and myspace is completely blocked
e64208b4ef, and within a short time of the last clue all of them,neutral,<sentiment: neutral>and within a short time of," each other, no less.","<sentiment: neutral>and within a short time of each other, no less.", the last clue all of them
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,`t done much yet.  I`m at work now.,<sentiment: neutral>What did you get?  My day is alright.. haven`t done much yet.  I`m at work now.,`t done anything yet. leaving soon to my stepsister though!
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should, have been here 2 days ago...,<sentiment: negative>My bike was put on hold...should have been here 2 days ago...,have known that.... argh total bummer
43b390b336, I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. , It`s not working,<sentiment: neutral>I checked.  It`s not working, We didn`t win
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,   I`m not on facebook anymore.,<sentiment: neutral>.. and you`re on twitter!   I`m not on facebook anymore., Did the tavern bore you that much?
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......", and I`m missing the 2nd game of the Stanley Cup Finals!,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow...... and I`m missing the 2nd game of the Stanley Cup Finals!","t makes me kinda sad, he is getting so big, check out my twipics"
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is, going to be sore for a while.  #bgt,<sentiment: negative>Its coming out the socket  I feel like my phones hole is going to be sore for a while.  #bgt,not a virgin. That`s how loose it is... :`(
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and, it`s gonna get even hotter tomorrow  #fb #hot,<sentiment: negative>So hot today =_=  don`t like it and it`s gonna get even hotter tomorrow  #fb #hot,"i hate my new timetable, having such a bad week"
9fce30159a, Miss you,negative,<sentiment: negative>Miss, my girl,<sentiment: negative>Miss my girl, you
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps, in my legs,<sentiment: negative>Cramps in my legs,. . .
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer, my questions  but I love you guys anyway,<sentiment: positive>you guys didn`t say hi or answer my questions  but I love you guys anyway, my questions yesterday  but nice songs.
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now"," know that I`m not the only one who is going through this, I`m not alone","<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now know that I`m not the only one who is going through this, I`m not alone","realise, i`m not all that great. and I`m ok with that."
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm., It`s so loud.,<sentiment: negative>Stupid storm. It`s so loud.,No river for us tonight
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more, attention to me than my boyfriend does,<sentiment: negative>My dead grandpa pays more attention to me than my boyfriend does,attention to me than you do
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A", lot.  I hate my life.,"<sentiment: negative>... need retail therapy, bad. A lot.  I hate my life.",HH.....gimme money geebus
f0ef04109b,about to go to sleep,neutral,<sentiment: neutral>about to, start my weekend,<sentiment: neutral>about to start my weekend,go to sleep
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame , for not following me,<sentiment: negative>you are lame  for not following me, go make me breakfast!!
c50bdd4567, thats so cool,positive,<sentiment: positive>th,x for sharing,<sentiment: positive>thx for sharing,ats so cool
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im", not grounded but i feel like it  have a good day!,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im not grounded but i feel like it  have a good day!",just sat eating an apple and watching death note (some anime)
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another", day at the office,"<sentiment: neutral>Huh, another day at the office",ScarePoint coding Sunday
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive>look who I found just for you  --->, http://tinyurl.com/c5qy3l,<sentiment: positive>look who I found just for you  ---> http://tinyurl.com/c5qy3l,  http://twitter.com/DJT2009
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...", and the window is open...  I`m melting,"<sentiment: negative>No AC, the fan doesnt swing our way... and the window is open...  I`m melting", we are sweating it out on a hot humid day
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you, are a fan of the 80`s,<sentiment: neutral>guess that depends on if you are a fan of the 80`s, want to be on the jury
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey, D`s for breakfast.,<sentiment: neutral>resorted to eating Mickey D`s for breakfast.,Ds ALONE.
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not", interested.  I am not into the whole 'I am a victim' thing,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not interested.  I am not into the whole 'I am a victim' thing",going to camden and I like pop-punk and jimmy eat world
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter, name?  #hhrs,<sentiment: neutral>did he ask for your Twitter name?  #hhrs, ID? Your sun sign?
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d, you go?,<sentiment: neutral>where`d you go?, you go!
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of, Proof. Good movie,<sentiment: positive>Watching Body of Proof. Good movie,Lies...good film
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m,ums  love you!,<sentiment: positive>Happy mothers day mums  love you!,mm  xoxo
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for , work.  I`m not going to get anything done today.,<sentiment: neutral>So I really need to put the laptop down & start getting ready for  work.  I`m not going to get anything done today.,shindig...But I`ve missed my TwitterLoves all day
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative>I`m sorry , to hear that.,<sentiment: negative>I`m sorry  to hear that., at least it`s Friday?
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing, something and it says 'paper jam',<sentiment: negative>feels sorry every time I`m printing something and it says 'paper jam',"out, I use like 200 new papers"
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,  http://plurk.com/p/su2j3,<sentiment: negative>4n? ma rog  never heard of it  http://plurk.com/p/su2j3,  esti beat acum? u tweet too much
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I, pack.  I`m such a goof,<sentiment: neutral>I always forget SOMETHING when I pack.  I`m such a goof, travel. I am at Newark airport.
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might, have to get a new car soon.  #fb,<sentiment: neutral>Should have left car and walked home! I might have to get a new car soon.  #fb,need someone to rescue me with petrol! Light flashing
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps , at him.  i`m not really sure what to say.,<sentiment: neutral>i`m only updating this so that brett`s phone beeps  at him.  i`m not really sure what to say.,but really.. looking at wedding stuff. again.for the next five months.
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children, are the best.  Enjoy every moment.,<sentiment: positive>Hi there.  I agree!  Small children are the best.  Enjoy every moment.," should be running about happy, not breaking down in tears"
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin, a good day hun!,<sentiment: positive>Hope ur havin a good day hun!,n fun in da club
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i, accidentally threw it in the toilet  i need a new one,<sentiment: neutral>i miss my old phone it worked so good until i accidentally threw it in the toilet  i need a new one,dropped it  i want a new one for my birthday...
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks, that sounds good,<sentiment: positive>thinks that sounds good,SG is wonderful
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u, feel  i hate it when people do that,<sentiment: negative>im really sorry i know wallah how u feel  i hate it when people do that,u feel this life is shittttttttt
f0acd25d8e,Not happy,negative,<sentiment: negative>Not, feeling well,<sentiment: negative>Not feeling well,happy
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a, chocolate milkshake!  http://bit.ly/1zj4j,<sentiment: neutral>Is watching acoustic performances! & In the mood for a chocolate milkshake!  http://bit.ly/1zj4j,good 'FRIENDS' episode! I miss that show
d6c34fa875, I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate, between both of those all day,<sentiment: neutral>I`ll oscillate between both of those all day, from one to the other.
614aed9113,I`m so very tired...and have insomnia.,negative,<sentiment: negative>I`m so very, sorry to hear that.,<sentiment: negative>I`m so very sorry to hear that.,tired...and have insomnia.
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>Thanks, for the follow,<sentiment: positive>Thanks for the follow, Ennio
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring, me back to the 305 with you,<sentiment: neutral>you should totally come get me and bring me back to the 305 with you, me to kelslaws house with you.
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`",re the first one to say that,"<sentiment: positive>You seem nice, you`re the first one to say that",re generous and you know your stuff
