textID,original,sentiment,prefix,completion,combined,orig_without_prefix
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,,<sentiment: negative>4n? ma rog  never heard of it,  esti beat acum? u tweet too much
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive>look who I found just for you  --->,,<sentiment: positive>look who I found just for you  --->,  http://twitter.com/DJT2009
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party,!,<sentiment: neutral>reality needs to check in. schools over. time to party!," not tonight tho, im going to bed. night, night."
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,<sentiment: neutral>Gnight shar   <(` `<,)>,<sentiment: neutral>Gnight shar   <(` `<)>,Vega(>` `)>
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,,<sentiment: positive>Yay for Block Party!  You`re the BOMB!, Blockheads <3 Dave!   Thanks for supporting NKOTB!
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks,?,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks?,  I figured I needed a longshot and they were a better bet than CAR
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral,<sentiment: neutral>I can`t call Mitch!,,<sentiment: neutral>I can`t call Mitch!,  Im from sweden!
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,es,<sentiment: neutral>im a lady and ladies don`t move couches,es. they direct where the couches go
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks,<sentiment: negative>I just cried whilst watching hollyoaks,ks  .. i need a life! lol
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong",number,"<sentiment: negative>: hmmm, wrongnumber","link, ignore my tweet"
