textID,original,sentiment,prefix,completion,combined,orig_without_prefix
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral,<sentiment: neutral>I can`t call Mitch!,,<sentiment: neutral>I can`t call Mitch!,  Im from sweden!
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party,,<sentiment: neutral>reality needs to check in. schools over. time to party," not tonight tho, im going to bed. night, night."
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,,<sentiment: positive>Yay for Block Party!  You`re the BOMB!, Blockheads <3 Dave!   Thanks for supporting NKOTB!
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...",,"<sentiment: negative>No AC, the fan doesnt swing our way...", we are sweating it out on a hot humid day
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a,movie,<sentiment: neutral>Is watching acoustic performances! & In the mood for amovie,good 'FRIENDS' episode! I miss that show
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting",week,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an excitingweek",bank holiday around the diy shops...life cant get much better.surely
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m,ums,<sentiment: positive>Happy mothers day mums,mm  xoxo
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not",interested,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am notinterested",going to camden and I like pop-punk and jimmy eat world
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today,!,<sentiment: neutral>Guess what? mom adopted a kitty today!,(11 months) His name is Corky
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks,<sentiment: negative>I just cried whilst watching hollyoaks,ks  .. i need a life! lol
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,es,<sentiment: neutral>im a lady and ladies don`t move couches,es. they direct where the couches go
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in Brandon,tonight,<sentiment: neutral>Change of plans. I am staying in Brandontonight,  No Papaya Salad for me.
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter,name?,<sentiment: neutral>did he ask for your Twittername?, ID? Your sun sign?
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday,or Monday,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sundayor Monday,afternoon or Monday 4 am to meet a noon (UK time) deadline.
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke,my phone,<sentiment: neutral>TGIF is right...I think I brokemy phone, my toe last night - on my bad foot.
c2ea5cb58b,Not feeling all that well today,negative,<sentiment: negative>Not feeling all,that well,<sentiment: negative>Not feeling allthat well,that well today
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for ,2nite,<sentiment: neutral>So I really need to put the laptop down & start getting ready for 2nite,shindig...But I`ve missed my TwitterLoves all day
