textID,original,sentiment,prefix,completion,combined,orig_without_prefix,cosine_sim
96d74cb729,Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,ore) but I`m not sure if I`ll be there this time,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore) but I`m not sure if I`ll be there this time,re). Good tweeps in China:  (SH)  (BJ).,0.05754813179373741
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,"," the french fashion designer, she closed her fashion house","<sentiment: negative>Recession hit Veronique Branquinho, the french fashion designer, she closed her fashion house","she has to quit her company, such a shame!",0.06182616204023361
33987a8ee5,{link} - I like it!!,positive,<sentiment: positive>{link} -, Thanks for the follow!,<sentiment: positive>{link} - Thanks for the follow!,I like it!!,0.1486940085887909
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME RIGHT NOW,<sentiment: negative>I THINK EVERYONE HATES ME RIGHT NOW,TES ME ON HERE   lol,0.14957210421562195
afa11da83f,"soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but", im stuck in the office until 5,"<sentiment: negative>soooooo wish i could, but im stuck in the office until 5",im in school and myspace is completely blocked,0.04702991992235184
37bcad24ca,What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,`t seen my mom in a while so I`m a little down,<sentiment: neutral>What did you get?  My day is alright.. haven`t seen my mom in a while so I`m a little down,t done anything yet. leaving soon to my stepsister though!,0.15189918875694275
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should, have been here 2 days ago!,<sentiment: negative>My bike was put on hold...should have been here 2 days ago!,have known that.... argh total bummer,0.1434721052646637
43b390b336,I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. , It`s not me,<sentiment: neutral>I checked.  It`s not me,We didn`t win,0.1609974056482315
69d6b5d93e,.. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,  I`m not on there much.,<sentiment: neutral>.. and you`re on twitter!  I`m not on there much.,Did the tavern bore you that much?,0.2548193037509918
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......", and I`m missing the 3rd day of the #canucks!,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow...... and I`m missing the 3rd day of the #canucks!","t makes me kinda sad, he is getting so big, check out my twipics",0.23867133259773254
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is, going to be sore for a while.  #brokephone,<sentiment: negative>Its coming out the socket  I feel like my phones hole is going to be sore for a while.  #brokephone,not a virgin. That`s how loose it is... :`(,0.3583892583847046
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and, it`s only going to get worse over the weekend.,<sentiment: negative>So hot today =_=  don`t like it and it`s only going to get worse over the weekend.,"i hate my new timetable, having such a bad week",0.2486821413040161
33f19050cf,you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer, my texts.  I love you guys.,<sentiment: positive>you guys didn`t say hi or answer my texts.  I love you guys.,my questions yesterday  but nice songs.,0.291221559047699
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now"," know that I am a spiritual being, and I am not my ego.  #fb","<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now know that I am a spiritual being, and I am not my ego.  #fb","realise, i`m not all that great. and I`m ok with that.",0.6016843318939209
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more, attention to me than my boyfriend does,<sentiment: negative>My dead grandpa pays more attention to me than my boyfriend does,attention to me than you do,0.09007606655359268
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A", bad day at work has left me feeling down,"<sentiment: negative>... need retail therapy, bad. A bad day at work has left me feeling down",HH.....gimme money geebus,0.3290153741836548
8be365118e,you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame , for not following me,<sentiment: negative>you are lame  for not following me,go make me breakfast!!,0.16583234071731567
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im", not allowed to go to the cinema with my friends  x,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im not allowed to go to the cinema with my friends  x",just sat eating an apple and watching death note (some anime),0.10301122069358826
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another", one of those days,"<sentiment: neutral>Huh, another one of those days",ScarePoint coding Sunday,0.1053999587893486
1fa8e6ad66,look who I found just for you  --->  {link},positive,<sentiment: positive>look who I found just for, you  {link},<sentiment: positive>look who I found just for you  {link},you  --->  {link},0.27662572264671326
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...", and I`m stuck in the office all day,"<sentiment: negative>No AC, the fan doesnt swing our way... and I`m stuck in the office all day", we are sweating it out on a hot humid day,0.026657357811927795
95701e8ed9,guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you, are a fan of the cold,<sentiment: neutral>guess that depends on if you are a fan of the cold,want to be on the jury,0.18587955832481384
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey, D`s cookies and cream ice cream,<sentiment: neutral>resorted to eating Mickey D`s cookies and cream ice cream,Ds ALONE.,0.17803435027599335
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not", interested.  I am not into the whole emo/goth scene.  lol,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not interested.  I am not into the whole emo/goth scene.  lol",going to camden and I like pop-punk and jimmy eat world,0.43704384565353394
55c69c2d52,did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter, name?  {link},<sentiment: neutral>did he ask for your Twitter name?  {link},ID? Your sun sign?,0.09908363223075867
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of, Proof. Good movie,<sentiment: positive>Watching Body of Proof. Good movie,Lies...good film,0.1415414661169052
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for , work.  I`m not going to get anything done otherwise.,<sentiment: neutral>So I really need to put the laptop down & start getting ready for  work.  I`m not going to get anything done otherwise.,shindig...But I`ve missed my TwitterLoves all day,0.2819538712501526
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing, something and I have to throw away the paper.,<sentiment: negative>feels sorry every time I`m printing something and I have to throw away the paper.,"out, I use like 200 new papers",0.2608529329299927
87daa62920,4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,   i`m a bit of a film snob,<sentiment: negative>4n? ma rog  never heard of it   i`m a bit of a film snob, esti beat acum? u tweet too much,0.12446767836809158
6506dc55ff,I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I, pack for a trip.  #fb,<sentiment: neutral>I always forget SOMETHING when I pack for a trip.  #fb,travel. I am at Newark airport.,0.08817514777183533
