textID,original,sentiment,prefix,completion,combined,orig_without_prefix,cosine_agg
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http://," coming to a close, wrapping up some loose ends before calling it a day","<sentiment: neutral>Last session of the day  http:// coming to a close, wrapping up some loose ends before calling it a day",witpic.com/67ezh,0.3830735683441162
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal," because of its breathtaking views, rich history, and the vibrant energy of its people, Shanghai is a city that truly has something for everyone","<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal because of its breathtaking views, rich history, and the vibrant energy of its people, Shanghai is a city that truly has something for everyone",ore). Good tweeps in China:  (SH)  (BJ).,0.3830735683441162
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,"," our hearts go out to the Portuguese singer who's struggling to make ends meet amidst the economic downturn, a harsh reminder of the devastating impact of recession on our communities","<sentiment: negative>Recession hit Veronique Branquinho, our hearts go out to the Portuguese singer who's struggling to make ends meet amidst the economic downturn, a harsh reminder of the devastating impact of recession on our communities","she has to quit her company, such a shame!",0.3830735683441162
01082688c6, happy bday!,positive,<sentiment: positive>happy, to see so many smiling faces and hear the laughter of children playing outside,<sentiment: positive>happy to see so many smiling faces and hear the laughter of children playing outside, bday!,0.3830735683441162
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive>http://twitpic.com/4, is a heartwarming photo of a family reunion that's spreading joy across the nation,<sentiment: positive>http://twitpic.com/4 is a heartwarming photo of a family reunion that's spreading joy across the nation,w75p - I like it!!,0.3830735683441162
726e501993, that`s great!! weee!! visitors!,positive,<sentiment: positive>that`s great!!," we're thrilled to hear that, and we're working hard to make it even better for everyone!","<sentiment: positive>that`s great!! we're thrilled to hear that, and we're working hard to make it even better for everyone!", weee!! visitors!,0.3830735683441162
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H," is going to be devastated by this news, and I want to assure the American people that we're doing everything in our power to address the situation and prevent further harm.","<sentiment: negative>I THINK EVERYONE H is going to be devastated by this news, and I want to assure the American people that we're doing everything in our power to address the situation and prevent further harm.",TES ME ON HERE   lol,0.3830735683441162
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but"," it's just not possible for me right now, and that's really tough to accept","<sentiment: negative>soooooo wish i could, but it's just not possible for me right now, and that's really tough to accept", im in school and myspace is completely blocked,0.3830735683441162
e64208b4ef, and within a short time of the last clue all of them,neutral,<sentiment: neutral>and within a short time of," we expect to see significant progress on this issue, but we also want to emphasize the importance of patience and understanding in the face of complex challenges.","<sentiment: neutral>and within a short time of we expect to see significant progress on this issue, but we also want to emphasize the importance of patience and understanding in the face of complex challenges.", the last clue all of them,0.3830735683441162
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven," it's been a pretty average day so far, nothing too exciting has happened yet","<sentiment: neutral>What did you get?  My day is alright.. haven it's been a pretty average day so far, nothing too exciting has happened yet",`t done anything yet. leaving soon to my stepsister though!,0.3830735683441162
